split,faultNumber,model,n_trajectories,mean_metric,median_metric,std_metric,minimum,maximum
test,13,logistic_regression,500,0.4730442858478609,0.47213622291021673,0.14253219356025273,0.05263157894736842,1.0
test,13,random_forest,500,0.7419158462046072,0.7609523809523809,0.11922341544629131,0.19047619047619047,1.0
test,14,decision_tree,500,0.8137586385472708,0.8235294117647058,0.09028586259384781,0.375,1.0
test,14,extra_trees,500,0.8038207082577684,0.8095238095238095,0.0924472060455244,0.375,1.0
test,14,hist_gradient_boosting,500,0.8146403896998653,0.8235294117647058,0.0930097596414055,0.375,1.0
test,14,linear_svm,500,0.1939699431182016,0.1875,0.08636857568884568,0.0,0.5
test,14,logistic_regression,500,0.030081750443572936,0.0,0.03637776560601377,0.0,0.16666666666666666
test,14,random_forest,500,0.814407642451541,0.8235294117647058,0.08922965296474696,0.375,1.0
test,15,decision_tree,500,0.17703468868405592,0.16666666666666666,0.08517229672366715,0.0,0.43478260869565216
test,15,extra_trees,500,0.2638345044455804,0.2631578947368421,0.1053497698176481,0.0,0.6190476190476191
test,15,hist_gradient_boosting,500,0.21521844676817015,0.2113237639553429,0.09689342517187206,0.0,0.5625
test,15,linear_svm,500,0.08082966904222129,0.07275132275132275,0.06237803905737112,0.0,0.3333333333333333
test,15,logistic_regression,500,0.067774860778556,0.058823529411764705,0.0555900943298381,0.0,0.25
test,15,random_forest,500,0.23960228322637137,0.23809523809523808,0.09797254411240508,0.0,0.5625
test,16,decision_tree,500,0.6003475119647287,0.603030303030303,0.11193595652212754,0.25,1.0
test,16,extra_trees,500,0.6333150362824235,0.631578947368421,0.11078508627525767,0.3,0.9230769230769231
test,16,hist_gradient_boosting,500,0.6853164164189703,0.6842105263157895,0.10377989527813727,0.35,1.0
test,16,linear_svm,500,0.1458458854019047,0.14285714285714285,0.08282941329957226,0.0,0.4
test,16,logistic_regression,500,0.08607681746838405,0.07692307692307693,0.06960550172711898,0.0,0.42105263157894735
test,16,random_forest,500,0.6556337351721875,0.6470588235294118,0.10771819829677198,0.35,1.0
test,17,decision_tree,500,0.7495046982754467,0.75,0.09690866816472549,0.45454545454545453,1.0
test,17,extra_trees,500,0.7825654882494063,0.7857142857142857,0.09611168940794598,0.5,1.0
test,17,hist_gradient_boosting,500,0.7811523699823117,0.7894736842105263,0.09784989053132079,0.4666666666666667,1.0
test,17,linear_svm,500,0.5861190202308199,0.5882352941176471,0.11498694873779641,0.29411764705882354,0.9375
test,17,logistic_regression,500,0.6958824732910764,0.7,0.10801621136979128,0.25,1.0
test,17,random_forest,500,0.7763336588919483,0.782608695652174,0.09796579940687451,0.5,1.0
test,18,decision_tree,500,0.7329721765441419,0.75,0.13966368695447323,0.047619047619047616,1.0
test,18,extra_trees,500,0.7455989091812356,0.7593103448275862,0.11208910100805698,0.1,1.0
test,18,hist_gradient_boosting,500,0.7622825866036621,0.7727272727272727,0.11784850230435884,0.13333333333333333,1.0
test,18,linear_svm,500,0.7237787563420297,0.7391304347826086,0.14037829858186282,0.13333333333333333,1.0
test,18,logistic_regression,500,0.7262778515266657,0.75,0.15501334202926928,0.07142857142857142,1.0
test,18,random_forest,500,0.7550988048506218,0.7647058823529411,0.11405745961106671,0.1,1.0
test,19,decision_tree,500,0.5749046347999646,0.5714285714285714,0.11394537155952449,0.2857142857142857,0.9473684210526315
